"id","created_date","created_time","sp_heater_ctr_cross_left","sp_heater_ctr_cross_right","sp_heater_ctr_long_left","sp_heater_ctr_long_right","sp_dosing_1","sp_dosing_2","sp_dosing_3","sp_dosing_4","sp_dosing_5","sp_dosing_6","sp_dosing_7","sp_dosing_8","sp_dosing_1_8","actual_dosing_1","actual_dosing_2","actual_dosing_3","actual_dosing_4","actual_dosing_5","actual_dosing_6","actual_dosing_7","actual_dosing_8","s1_output","s1_reject","s1_penggunaan_foil","s2_output","s2_reject","s2_penggunaan_foil","s3_output","s3_reject","s3_penggunaan_foil"
"1","2025-03-05","16:17:40","188","188","130","130","3380","3310","3530","3500","3300","3530","3340","3440","3750","3380","3310","3530","3500","3300","3530","3340","3440","282368","2408","2491.79","167576","2248","1485.96","44616","1160","400.54"
"2","2025-03-05","17:17:40","188","188","130","130","3380","3310","3530","3500","3300","3530","3340","3440","3750","3380","3310","3530","3500","3300","3530","3340","3440","282368","2408","2491.79","167576","2248","1485.96","44616","1160","400.54"
"3","2025-03-05","18:17:40","188","188","130","130","3390","3320","3540","3510","3310","3540","3350","3450","3760","3390","3320","3540","3510","3310","3540","3350","3450","282368","2408","2491.79","167576","2248","1485.96","44616","1160","400.54"
"4","2025-03-05","19:17:40","188","188","130","130","3390","3320","3540","3510","3310","3540","3350","3450","3760","3390","3320","3540","3510","3310","3540","3350","3450","282368","2408","2491.79","167576","2248","1485.96","44616","1160","400.54"
"5","2025-03-05","20:17:40","188","188","130","130","3390","3320","3540","3510","3310","3540","3350","3450","3760","3390","3320","3540","3510","3310","3540","3350","3450","120432","2096","1072.12","167576","2248","1485.96","44616","1160","400.54"
"6","2025-03-05","21:17:40","188","188","130","130","3330","3260","3480","3450","3250","3480","3290","3390","3700","3330","3260","3480","3450","3250","3480","3290","3390","120432","2096","1072.12","282368","2408","2491.79","167576","2248","1485.96"
"7","2025-03-05","22:17:40","188","188","130","130","3330","3260","3480","3450","3250","3480","3290","3390","3700","3330","3260","3480","3450","3250","3480","3290","3390","120432","2096","1072.12","282368","2408","2491.79","167576","2248","1485.96"
"8","2025-03-05","23:17:40","188","188","130","130","3360","3290","3510","3480","3280","3510","3320","3420","3730","3360","3290","3510","3480","3280","3510","3320","3420","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"9","2025-03-06","00:17:40","188","188","130","130","3360","3290","3510","3480","3280","3510","3320","3420","3730","3360","3290","3510","3480","3280","3510","3320","3420","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"10","2025-03-06","01:17:40","188","188","130","130","3360","3290","3510","3480","3280","3510","3320","3420","3730","3360","3290","3510","3480","3280","3510","3320","3420","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"11","2025-03-06","02:17:40","188","188","130","130","3350","3280","3500","3470","3270","3500","3310","3410","3720","3350","3280","3500","3470","3270","3500","3310","3410","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"12","2025-03-06","03:17:40","188","188","130","130","3350","3280","3500","3470","3270","3500","3310","3410","3720","3350","3280","3500","3470","3270","3500","3310","3410","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"13","2025-03-06","04:17:39","188","188","130","130","3350","3280","3500","3470","3270","3500","3310","3410","3720","3350","3280","3500","3470","3270","3500","3310","3410","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"14","2025-03-06","05:17:39","188","188","130","130","3350","3280","3500","3470","3270","3500","3310","3410","3720","3350","3280","3500","3470","3270","3500","3310","3410","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"15","2025-03-06","06:17:39","188","188","130","130","3330","3260","3480","3450","3250","3480","3290","3390","3700","3330","3260","3480","3450","3250","3480","3290","3390","78008","832","689.85","120432","2096","1072.12","282368","2408","2491.79"
"16","2025-03-06","07:17:39","188","188","130","130","3330","3260","3480","3450","3250","3480","3290","3390","3700","3330","3260","3480","3450","3250","3480","3290","3390","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"17","2025-03-06","09:17:39","188","188","130","130","3330","3270","3500","3450","3240","3460","3290","3390","3700","3330","3270","3500","3450","3240","3460","3290","3390","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"18","2025-03-06","10:17:39","188","188","130","130","3330","3270","3500","3450","3240","3460","3290","3390","3700","3330","3270","3500","3450","3240","3460","3290","3390","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"19","2025-03-06","11:17:39","188","188","130","130","3330","3270","3500","3450","3240","3460","3290","3390","3700","3330","3270","3500","3450","3240","3460","3290","3390","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"20","2025-03-06","12:17:39","188","188","130","130","3320","3260","3490","3440","3230","3450","3280","3380","3690","3320","3260","3490","3440","3230","3450","3280","3380","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"21","2025-03-06","13:17:39","188","188","130","130","3320","3260","3490","3440","3230","3450","3280","3380","3690","3320","3260","3490","3440","3230","3450","3280","3380","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"22","2025-03-06","14:17:39","188","188","130","130","3310","3250","3480","3430","3220","3440","3270","3370","3680","3310","3250","3480","3430","3220","3440","3270","3370","247544","2256","2185.75","78008","832","689.85","120432","2096","1072.12"
"23","2025-03-06","15:17:39","188","188","130","130","3310","3250","3480","3430","3220","3440","3270","3370","3680","3310","3250","3480","3430","3220","3440","3270","3370","0","0","0","0","0","0","0","0","0"
"24","2025-03-06","16:17:39","188","188","130","130","3310","3250","3480","3430","3220","3440","3270","3370","3680","3310","3250","3480","3430","3220","3440","3270","3370","0","0","0","0","0","0","0","0","0"
"25","2025-03-06","17:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","0","0","0","0","0","0","0","0","0"
"26","2025-03-06","18:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","93752","520","824.88","0","0","0","0","0","0"
"27","2025-03-06","19:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","0","0","0","93752","520","824.88","0","0","0"
"28","2025-03-06","20:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","0","0","0","93752","520","824.88","0","0","0"
"29","2025-03-06","21:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","0","0","0","93752","520","824.88","0","0","0"
"30","2025-03-06","22:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","0","0","0","93752","520","824.88","0","0","0"
"31","2025-03-06","23:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"32","2025-03-07","00:17:38","188","188","130","130","3260","3200","3450","3380","3200","3390","3220","3330","3650","3260","3200","3450","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"33","2025-03-07","01:17:38","188","188","130","130","3280","3220","3480","3400","3220","3410","3240","3350","3670","3280","3220","3480","3400","3220","3410","3240","3350","128168","704","1127.63","0","0","0","93752","520","824.88"
"34","2025-03-07","02:17:38","188","188","130","130","3260","3200","3460","3380","3200","3390","3220","3330","3650","3260","3200","3460","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"35","2025-03-07","03:17:38","188","188","130","130","3260","3200","3460","3380","3200","3390","3220","3330","3650","3260","3200","3460","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"36","2025-03-07","04:17:37","188","188","130","130","3260","3200","3460","3380","3200","3390","3220","3330","3650","3260","3200","3460","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"37","2025-03-07","05:17:37","188","188","130","130","3260","3200","3460","3380","3200","3390","3220","3330","3650","3260","3200","3460","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"38","2025-03-07","06:17:38","188","188","130","130","3260","3200","3460","3380","3200","3390","3220","3330","3650","3260","3200","3460","3380","3200","3390","3220","3330","128168","704","1127.63","0","0","0","93752","520","824.88"
"39","2025-03-07","07:17:37","188","188","130","130","3250","3190","3450","3370","3190","3380","3210","3320","3640","3250","3190","3450","3370","3190","3380","3210","3320","241312","2616","2134.37","128168","704","1127.63","0","0","0"
"40","2025-03-07","08:17:37","188","188","130","130","3250","3190","3450","3370","3190","3380","3210","3320","3640","3250","3190","3450","3370","3190","3380","3210","3320","241312","2616","2134.37","128168","704","1127.63","0","0","0"
